coupling mStop mChi run sign xsec error
312 1000 100 Run2 minus 31.13 0.108
312 1000 200 Run2 minus 31.13 0.108
312 1000 300 Run2 minus 31.13 0.1079
312 1000 400 Run2 minus 31.13 0.1079
312 1000 500 Run2 minus 31.13 0.1079
312 1000 600 Run2 minus 31.13 0.1079
312 1000 700 Run2 minus 31.13 0.1079
312 1000 800 Run2 minus 31.14 0.1079
312 1000 900 Run2 minus 31.14 0.1078
312 1000 950 Run2 minus 31.14 0.1078
312 1050 1000 Run2 minus 25.15 0.08714
312 1050 400 Run2 minus 25.14 0.08722
312 1050 500 Run2 minus 25.14 0.08719
312 1050 600 Run2 minus 25.14 0.08718
312 1050 700 Run2 minus 25.15 0.08717
312 1050 800 Run2 minus 25.15 0.08717
312 1050 900 Run2 minus 25.15 0.08715
312 1100 1000 Run2 minus 20.46 0.07092
312 1100 100 Run2 minus 20.46 0.07103
312 1100 1050 Run2 minus 20.46 0.07093
312 1100 200 Run2 minus 20.46 0.07102
312 1100 300 Run2 minus 20.46 0.07101
312 1100 400 Run2 minus 20.46 0.07099
312 1100 500 Run2 minus 20.46 0.07097
312 1100 600 Run2 minus 20.46 0.07096
312 1100 700 Run2 minus 20.46 0.07095
312 1100 800 Run2 minus 20.46 0.07094
312 1100 900 Run2 minus 20.46 0.07094
312 1150 1000 Run2 minus 16.76 0.05811
312 1150 1100 Run2 minus 16.76 0.05811
312 1150 400 Run2 minus 16.75 0.05817
312 1150 500 Run2 minus 16.75 0.05815
312 1150 600 Run2 minus 16.75 0.05814
312 1150 700 Run2 minus 16.75 0.05813
312 1150 800 Run2 minus 16.76 0.05812
312 1150 900 Run2 minus 16.76 0.05812
312 1200 1000 Run2 minus 13.81 0.0479
312 1200 100 Run2 minus 13.81 0.04798
312 1200 1100 Run2 minus 13.81 0.04789
312 1200 1150 Run2 minus 13.81 0.0479
312 1200 200 Run2 minus 13.81 0.04797
312 1200 300 Run2 minus 13.81 0.04796
312 1200 400 Run2 minus 13.81 0.04795
312 1200 500 Run2 minus 13.81 0.04794
312 1200 600 Run2 minus 13.81 0.04793
312 1200 700 Run2 minus 13.81 0.04792
312 1200 800 Run2 minus 13.81 0.04791
312 1200 900 Run2 minus 13.81 0.04791
312 1250 1000 Run2 minus 11.44 0.03971
312 1250 1100 Run2 minus 11.44 0.0397
312 1250 1200 Run2 minus 11.45 0.0397
312 1250 400 Run2 minus 11.44 0.03975
312 1250 500 Run2 minus 11.44 0.03974
312 1250 600 Run2 minus 11.44 0.03973
312 1250 700 Run2 minus 11.44 0.03973
312 1250 800 Run2 minus 11.44 0.03972
312 1250 900 Run2 minus 11.44 0.03972
312 1300 1000 Run2 minus 9.533 0.03309
312 1300 100 Run2 minus 9.532 0.03315
312 1300 1100 Run2 minus 9.534 0.03309
312 1300 1200 Run2 minus 9.534 0.03308
312 1300 1250 Run2 minus 9.534 0.03308
312 1300 200 Run2 minus 9.531 0.03314
312 1300 300 Run2 minus 9.531 0.03313
312 1300 400 Run2 minus 9.531 0.03313
312 1300 500 Run2 minus 9.531 0.03312
312 1300 600 Run2 minus 9.532 0.03311
312 1300 700 Run2 minus 9.532 0.03311
312 1300 800 Run2 minus 9.532 0.0331
312 1300 900 Run2 minus 9.533 0.03309
312 1350 1000 Run2 minus 7.98 0.02771
312 1350 1100 Run2 minus 7.981 0.02771
312 1350 1200 Run2 minus 7.981 0.0277
312 1350 1300 Run2 minus 7.981 0.0277
312 1350 400 Run2 minus 7.979 0.02774
312 1350 500 Run2 minus 7.979 0.02773
312 1350 600 Run2 minus 7.979 0.02773
312 1350 700 Run2 minus 7.979 0.02772
312 1350 800 Run2 minus 7.979 0.02772
312 1350 900 Run2 minus 7.98 0.02771
312 1400 1000 Run2 minus 6.711 0.02331
312 1400 100 Run2 minus 6.71 0.02335
312 1400 1100 Run2 minus 6.711 0.0233
312 1400 1200 Run2 minus 6.712 0.0233
312 1400 1300 Run2 minus 6.712 0.0233
312 1400 1350 Run2 minus 6.712 0.0233
312 1400 200 Run2 minus 6.71 0.02334
312 1400 300 Run2 minus 6.71 0.02334
312 1400 400 Run2 minus 6.71 0.02333
312 1400 500 Run2 minus 6.71 0.02333
312 1400 600 Run2 minus 6.71 0.02332
312 1400 700 Run2 minus 6.71 0.02332
312 1400 800 Run2 minus 6.71 0.02331
312 1400 900 Run2 minus 6.71 0.02331
312 1450 1000 Run2 minus 5.667 0.01969
312 1450 1100 Run2 minus 5.667 0.01969
312 1450 1200 Run2 minus 5.668 0.01968
312 1450 1300 Run2 minus 5.668 0.01968
312 1450 1400 Run2 minus 5.668 0.01968
312 1450 400 Run2 minus 5.667 0.01971
312 1450 500 Run2 minus 5.667 0.01971
312 1450 600 Run2 minus 5.667 0.0197
312 1450 700 Run2 minus 5.667 0.0197
312 1450 800 Run2 minus 5.667 0.01969
312 1450 900 Run2 minus 5.667 0.01969
312 1500 1000 Run2 minus 4.805 0.01669
312 1500 100 Run2 minus 4.804 0.01672
312 1500 1100 Run2 minus 4.805 0.01669
312 1500 1200 Run2 minus 4.805 0.01669
312 1500 1300 Run2 minus 4.806 0.01669
312 1500 1400 Run2 minus 4.806 0.01669
312 1500 1450 Run2 minus 4.806 0.01669
312 1500 200 Run2 minus 4.804 0.01672
312 1500 300 Run2 minus 4.804 0.01672
312 1500 400 Run2 minus 4.804 0.01671
312 1500 500 Run2 minus 4.804 0.01671
312 1500 600 Run2 minus 4.804 0.01671
312 1500 700 Run2 minus 4.804 0.0167
312 1500 800 Run2 minus 4.804 0.0167
312 1500 900 Run2 minus 4.804 0.0167
312 1550 1000 Run2 minus 4.089 0.01421
312 1550 1100 Run2 minus 4.089 0.0142
312 1550 1200 Run2 minus 4.089 0.0142
312 1550 1300 Run2 minus 4.089 0.0142
312 1550 1400 Run2 minus 4.09 0.0142
312 1550 1500 Run2 minus 4.09 0.0142
312 1550 400 Run2 minus 4.088 0.01422
312 1550 500 Run2 minus 4.088 0.01422
312 1550 600 Run2 minus 4.088 0.01422
312 1550 700 Run2 minus 4.088 0.01421
312 1550 800 Run2 minus 4.088 0.01421
312 1550 900 Run2 minus 4.088 0.01421
312 1600 1000 Run2 minus 3.491 0.01213
312 1600 100 Run2 minus 3.491 0.01215
312 1600 1100 Run2 minus 3.491 0.01213
312 1600 1200 Run2 minus 3.492 0.01213
312 1600 1300 Run2 minus 3.492 0.01212
312 1600 1400 Run2 minus 3.492 0.01212
312 1600 1500 Run2 minus 3.492 0.01212
312 1600 1550 Run2 minus 3.492 0.01212
312 1600 200 Run2 minus 3.491 0.01215
312 1600 300 Run2 minus 3.491 0.01215
312 1600 400 Run2 minus 3.491 0.01214
312 1600 500 Run2 minus 3.491 0.01214
312 1600 600 Run2 minus 3.491 0.01214
312 1600 700 Run2 minus 3.491 0.01214
312 1600 800 Run2 minus 3.491 0.01213
312 1600 900 Run2 minus 3.491 0.01213
312 1650 1000 Run2 minus 2.991 0.01039
312 1650 1100 Run2 minus 2.991 0.01039
312 1650 1200 Run2 minus 2.991 0.01038
312 1650 1300 Run2 minus 2.991 0.01038
312 1650 1400 Run2 minus 2.991 0.01038
312 1650 1500 Run2 minus 2.992 0.01038
312 1650 1600 Run2 minus 2.992 0.01038
312 1650 400 Run2 minus 2.991 0.0104
312 1650 500 Run2 minus 2.991 0.0104
312 1650 600 Run2 minus 2.991 0.0104
312 1650 700 Run2 minus 2.991 0.01039
312 1650 800 Run2 minus 2.991 0.01039
312 1650 900 Run2 minus 2.991 0.01039
312 1700 1000 Run2 minus 2.57 0.008921
312 1700 100 Run2 minus 2.57 0.008937
312 1700 1100 Run2 minus 2.57 0.00892
312 1700 1200 Run2 minus 2.57 0.008918
312 1700 1300 Run2 minus 2.57 0.008917
312 1700 1400 Run2 minus 2.571 0.008916
312 1700 1500 Run2 minus 2.571 0.008914
312 1700 1600 Run2 minus 2.571 0.008915
312 1700 1650 Run2 minus 2.571 0.008915
312 1700 200 Run2 minus 2.57 0.008936
312 1700 300 Run2 minus 2.57 0.008935
312 1700 400 Run2 minus 2.57 0.008933
312 1700 500 Run2 minus 2.57 0.008931
312 1700 600 Run2 minus 2.57 0.008929
312 1700 700 Run2 minus 2.57 0.008927
312 1700 800 Run2 minus 2.57 0.008925
312 1700 900 Run2 minus 2.57 0.008923
312 1750 1000 Run2 minus 2.215 0.007682
312 1750 1100 Run2 minus 2.215 0.007681
312 1750 1200 Run2 minus 2.215 0.007679
312 1750 1300 Run2 minus 2.215 0.007679
312 1750 1400 Run2 minus 2.215 0.007678
312 1750 1500 Run2 minus 2.215 0.007676
312 1750 1600 Run2 minus 2.215 0.007675
312 1750 1700 Run2 minus 2.215 0.007676
312 1750 400 Run2 minus 2.215 0.007692
312 1750 500 Run2 minus 2.215 0.007691
312 1750 600 Run2 minus 2.215 0.007689
312 1750 700 Run2 minus 2.215 0.007687
312 1750 800 Run2 minus 2.215 0.007685
312 1750 900 Run2 minus 2.215 0.007684
312 1800 1000 Run2 minus 1.914 0.006631
312 1800 100 Run2 minus 1.914 0.006642
312 1800 1100 Run2 minus 1.914 0.00663
312 1800 1200 Run2 minus 1.914 0.006628
312 1800 1300 Run2 minus 1.914 0.006627
312 1800 1400 Run2 minus 1.914 0.006627
312 1800 1500 Run2 minus 1.914 0.006626
312 1800 1600 Run2 minus 1.914 0.006624
312 1800 1700 Run2 minus 1.914 0.006625
312 1800 1750 Run2 minus 1.914 0.006625
312 1800 200 Run2 minus 1.914 0.006642
312 1800 300 Run2 minus 1.914 0.006641
312 1800 400 Run2 minus 1.914 0.00664
312 1800 500 Run2 minus 1.914 0.006638
312 1800 600 Run2 minus 1.914 0.006637
312 1800 700 Run2 minus 1.914 0.006635
312 1800 800 Run2 minus 1.914 0.006634
312 1800 900 Run2 minus 1.914 0.006632
312 1850 1000 Run2 minus 1.658 0.005736
312 1850 1100 Run2 minus 1.658 0.005735
312 1850 1200 Run2 minus 1.658 0.005734
312 1850 1300 Run2 minus 1.658 0.005733
312 1850 1400 Run2 minus 1.658 0.005732
312 1850 1500 Run2 minus 1.658 0.005732
312 1850 1600 Run2 minus 1.658 0.00573
312 1850 1700 Run2 minus 1.658 0.00573
312 1850 1800 Run2 minus 1.658 0.005731
312 1850 400 Run2 minus 1.658 0.005744
312 1850 500 Run2 minus 1.658 0.005743
312 1850 600 Run2 minus 1.658 0.005742
312 1850 700 Run2 minus 1.658 0.00574
312 1850 800 Run2 minus 1.658 0.005739
312 1850 900 Run2 minus 1.658 0.005738
312 1900 1000 Run2 minus 1.44 0.004973
312 1900 100 Run2 minus 1.44 0.004981
312 1900 1100 Run2 minus 1.44 0.004972
312 1900 1200 Run2 minus 1.44 0.004971
312 1900 1300 Run2 minus 1.44 0.00497
312 1900 1400 Run2 minus 1.44 0.004969
312 1900 1500 Run2 minus 1.44 0.004968
312 1900 1600 Run2 minus 1.44 0.004967
312 1900 1700 Run2 minus 1.44 0.004967
312 1900 1800 Run2 minus 1.44 0.004967
312 1900 1850 Run2 minus 1.44 0.004967
312 1900 200 Run2 minus 1.44 0.004981
312 1900 300 Run2 minus 1.44 0.00498
312 1900 400 Run2 minus 1.44 0.004979
312 1900 500 Run2 minus 1.44 0.004978
312 1900 600 Run2 minus 1.44 0.004977
312 1900 700 Run2 minus 1.44 0.004976
312 1900 800 Run2 minus 1.44 0.004975
312 1900 900 Run2 minus 1.44 0.004974
312 1950 1000 Run2 minus 1.253 0.004319
312 1950 1100 Run2 minus 1.253 0.004318
312 1950 1200 Run2 minus 1.253 0.004317
312 1950 1300 Run2 minus 1.253 0.004316
312 1950 1400 Run2 minus 1.253 0.004315
312 1950 1500 Run2 minus 1.253 0.004315
312 1950 1600 Run2 minus 1.253 0.004314
312 1950 1700 Run2 minus 1.253 0.004313
312 1950 1800 Run2 minus 1.253 0.004313
312 1950 1900 Run2 minus 1.253 0.004313
312 1950 400 Run2 minus 1.253 0.004325
312 1950 500 Run2 minus 1.253 0.004324
312 1950 600 Run2 minus 1.253 0.004323
312 1950 700 Run2 minus 1.253 0.004322
312 1950 800 Run2 minus 1.253 0.004321
312 1950 900 Run2 minus 1.253 0.00432
312 2000 1000 Run2 minus 1.093 0.003758
312 2000 100 Run2 minus 1.093 0.003764
312 2000 1100 Run2 minus 1.093 0.003757
312 2000 1200 Run2 minus 1.093 0.003756
312 2000 1300 Run2 minus 1.093 0.003755
312 2000 1400 Run2 minus 1.093 0.003755
312 2000 1500 Run2 minus 1.093 0.003754
312 2000 1600 Run2 minus 1.093 0.003754
312 2000 1700 Run2 minus 1.093 0.003753
312 2000 1800 Run2 minus 1.093 0.003752
312 2000 1900 Run2 minus 1.093 0.003753
312 2000 1950 Run2 minus 1.093 0.003753
312 2000 200 Run2 minus 1.093 0.003764
312 2000 300 Run2 minus 1.093 0.003763
312 2000 400 Run2 minus 1.093 0.003763
312 2000 500 Run2 minus 1.093 0.003762
312 2000 600 Run2 minus 1.093 0.003761
312 2000 700 Run2 minus 1.093 0.00376
312 2000 800 Run2 minus 1.093 0.003759
312 2000 900 Run2 minus 1.093 0.003759
312 900 100 Run2 minus 48.91 0.1694
312 900 200 Run2 minus 48.91 0.1693
312 900 300 Run2 minus 48.91 0.1693
312 900 400 Run2 minus 48.91 0.1693
312 900 500 Run2 minus 48.91 0.1692
312 900 600 Run2 minus 48.91 0.1692
312 900 700 Run2 minus 48.91 0.1692
312 900 800 Run2 minus 48.92 0.1692
312 900 850 Run2 minus 48.92 0.1692
312 950 400 Run2 minus 38.85 0.1346
312 950 500 Run2 minus 38.85 0.1345
312 950 600 Run2 minus 38.85 0.1345
312 950 700 Run2 minus 38.85 0.1345
312 950 800 Run2 minus 38.86 0.1345
312 950 900 Run2 minus 38.86 0.1345
312 1000 100 Run2 plus 7.402 0.03185
312 1000 200 Run2 plus 7.402 0.03187
312 1000 300 Run2 plus 7.402 0.03188
312 1000 400 Run2 plus 7.402 0.03189
312 1000 500 Run2 plus 7.402 0.03185
312 1000 600 Run2 plus 7.402 0.0317
312 1000 700 Run2 plus 7.403 0.03142
312 1000 800 Run2 plus 7.403 0.03103
312 1000 900 Run2 plus 7.405 0.03064
312 1000 950 Run2 plus 7.405 0.03068
312 1050 1000 Run2 plus 5.783 0.02413
312 1050 400 Run2 plus 5.78 0.02507
312 1050 500 Run2 plus 5.78 0.02505
312 1050 600 Run2 plus 5.78 0.02498
312 1050 700 Run2 plus 5.781 0.0248
312 1050 800 Run2 plus 5.781 0.02453
312 1050 900 Run2 plus 5.782 0.02421
312 1100 1000 Run2 plus 4.552 0.01897
312 1100 100 Run2 plus 4.551 0.01974
312 1100 1050 Run2 plus 4.552 0.01903
312 1100 200 Run2 plus 4.551 0.01975
312 1100 300 Run2 plus 4.551 0.01976
312 1100 400 Run2 plus 4.551 0.01977
312 1100 500 Run2 plus 4.551 0.01976
312 1100 600 Run2 plus 4.551 0.01972
312 1100 700 Run2 plus 4.551 0.01961
312 1100 800 Run2 plus 4.551 0.01943
312 1100 900 Run2 plus 4.551 0.01918
312 1150 1000 Run2 plus 3.61 0.01506
312 1150 1100 Run2 plus 3.611 0.01505
312 1150 400 Run2 plus 3.609 0.01564
312 1150 500 Run2 plus 3.609 0.01564
312 1150 600 Run2 plus 3.609 0.01562
312 1150 700 Run2 plus 3.609 0.01555
312 1150 800 Run2 plus 3.609 0.01543
312 1150 900 Run2 plus 3.61 0.01525
312 1200 1000 Run2 plus 2.882 0.0121
312 1200 100 Run2 plus 2.882 0.01249
312 1200 1100 Run2 plus 2.883 0.01198
312 1200 1150 Run2 plus 2.883 0.01203
312 1200 200 Run2 plus 2.882 0.01249
312 1200 300 Run2 plus 2.882 0.0125
312 1200 400 Run2 plus 2.882 0.01251
312 1200 500 Run2 plus 2.882 0.01251
312 1200 600 Run2 plus 2.882 0.01249
312 1200 700 Run2 plus 2.882 0.01245
312 1200 800 Run2 plus 2.882 0.01237
312 1200 900 Run2 plus 2.882 0.01225
312 1250 1000 Run2 plus 2.316 0.009783
312 1250 1100 Run2 plus 2.316 0.009668
312 1250 1200 Run2 plus 2.317 0.009677
312 1250 400 Run2 plus 2.316 0.01006
312 1250 500 Run2 plus 2.316 0.01006
312 1250 600 Run2 plus 2.316 0.01005
312 1250 700 Run2 plus 2.316 0.01003
312 1250 800 Run2 plus 2.316 0.009979
312 1250 900 Run2 plus 2.316 0.009896
312 1300 1000 Run2 plus 1.872 0.007919
312 1300 100 Run2 plus 1.872 0.008093
312 1300 1100 Run2 plus 1.872 0.007826
312 1300 1200 Run2 plus 1.873 0.00776
312 1300 1250 Run2 plus 1.873 0.007796
312 1300 200 Run2 plus 1.872 0.008096
312 1300 300 Run2 plus 1.872 0.008101
312 1300 400 Run2 plus 1.872 0.008106
312 1300 500 Run2 plus 1.872 0.008108
312 1300 600 Run2 plus 1.872 0.008105
312 1300 700 Run2 plus 1.872 0.00809
312 1300 800 Run2 plus 1.872 0.008057
312 1300 900 Run2 plus 1.872 0.008001
312 1350 1000 Run2 plus 1.521 0.00639
